index       block_cipher       substitution_cipher
    1               0              23 
    2               0               0 
    3               0               0 
    4               0               0 
    5               0               0 
    6               0               0 
    7               0               0 
    8               0               0 
    9             216               0 
   10             184               0 
   11             158               0 
   12             143               0 
   13              46               0 
   14              27               0 
   15             123               0 
   16             200               0 
   17             241               0 
   18             195               0 
   19              56               0 
   20              36               0 
   21              12               0 
   22             196               0 
   23             144               0 
   24              41               0 
   25             103               0 
   26              50               0 
   27              29               0 
   28              45               0 
   29             180               0 
   30             246               0 
   31              64               0 
   32              99               0 
   33             140               0 
   34               0               0 
   35             237               0 
   36              35               0 
   37             155               0 
   38              68               0 
   39              99               0 
   40             223               0 
   41             229               0 
   42             120               0 
   43             192               0 
   44             114               0 
   45               7               0 
   46             153               0 
   47              77               0 
   48             139               0 
   49             228               0 
   50             166               0 
   51              94               0 
   52             116               0 
   53              50               0 
   54              13               0 
   55             121               0 
   56             186               0 
   57             118               0 
   58             254               0 
   59             157               0 
   60             200               0 
   61             231               0 
   62             223               0 
   63              13               0 
   64              89               0 
   65              71               0 
   66              24               0 
   67             168               0 
   68             133               0 
   69             171               0 
   70             218               0 
   71             118               0 
   72              23               0 
   73             111               0 
   74             108               0 
   75              96               0 
   76              83               0 
   77              64               0 
   78             228               0 
   79             156               0 
   80              49               0 
   81              24               0 
   82             196               0 
   83             148               0 
   84              74               0 
   85              84               0 
   86             143               0 
   87             194               0 
   88             149               0 
   89             165               0 
   90              40               0 
   91              36               0 
   92             181               0 
   93              91               0 
   94             135               0 
   95             213               0 
   96             147               0 
   97              50               0 
   98             106               0 
   99             205               0 
  100             248               0 
  101             123               0 
  102             244               0 
  103              74               0 
  104             226               0 
  105             190               0 
  106             156               0 
  107              76               0 
  108             182               0 
  109             166               0 
  110             221               0 
  111             229               0 
  112             125               0 
  113             167               0 
  114             167               0 
  115             175               0 
  116             116               0 
  117               0               0 
  118              26               0 
  119              66               0 
  120              33               0 
  121             136               0 
  122              80               0 
  123              56               0 
  124             189               0 
  125              81               0 
  126             237               0 
  127              12               0 
